TWEETS,KEYWORDS,FINE-GRAINED,REASONS
Am so amazed with the program all the beneficiaries thank you Gracias,"Appreciation, Amazement",Delighted,Expresses appreciation and amazement.
Wow ðŸ¤©. Great initiative.,"Appreciation, Encouragement",Delighted,Expresses excitement and appreciation for an initiative.
Happening live at #Knust Law Faculty ðŸ”¥ðŸ”¥ðŸ”¥,"Cultural Factors, Excitement",Cultural Factors,Announces a cultural event with excitement.
5 Days More ðŸ”¥ðŸ”¥,Supernatural Invasion 2023THE DRY BONES SHALL LIVE AGAIN!!!#SNIisHERE #SNI23 #KNUST #shepherdites,"Announcement, Excitement",Optimistic
Where the KNUST Engineer dey? ðŸ˜‚ðŸ˜‚ @KNUST_Live @_gesa_knust #KNUST,"Inquiry, Humor",Ambivalent,Asks a question with humor and mixed sentiment.
@save_video,"Media, Mention",Neutral,Mentions a media account with no specific sentiment.
ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,Humor,Cultural Factors,Expresses humor and amusement.
"The only live band jam to hit Brunei! It was a crazy idea but it happened! Stress release for all the students around and a chance to unleash our God-given talent! Band: Adonis, Eddy, Lybra, Hayford, Buda, Elvis, ClarkeSingers: Ella, Nana Ama, Dennis#KNUST #NeizerForCampusMp","Cultural Factors, Excitement, Stress and Anxiety",Delighted,Expresses excitement and positivity with cultural reference.
Today is #WorldEngineeringDay. Join us live at 10:00 a.m. via: http://shorturl.at/fADIM to experience the contributions of KNUST and Ghanaian Engineers to sustainable development.#WorldEngineeringDay #knust #knuststudents #engineers,"Announcement, Encouragement",Optimistic,Announces an event with encouragement and optimism.
Hi. May you kindly help me . Are the 2023 applications out yet?....,"Inquiry, Politeness",Neutral,Asks a polite question with no specific sentiment.
"#RelationshipHub22 #RH22#daterush is not enough to guarantee a successful relationship. Your destination on the 23rd of July should be Relationship Hub happening live in #KNUST. Just some few days to go. Wondering how you gonna get your tickets, DM right now.","Relationship, Announcement",Neutral,Promotes an event with no specific sentiment.
ðŸ”¥ðŸ”¥,Excitement,Optimistic,Expresses excitement.
I cannot wait ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,Excitement,Optimistic,Expresses excitement.
##z,None,Neutral,Contains an unspecified symbol.
#RelationshipHub22 #RH22 #KNUST,"Relationship, Announcement",Neutral,Promotes an event with no specific sentiment.
ðŸ‘ðŸ¿,Approval,Delighted,Expresses approval and positivity.
ðŸ’¥,Excitement,Optimistic,Expresses excitement.
âœ…âœ…,Confirmation,Optimistic,Indicates confirmation and positivity.
Distribution of Laptops Under the SONSOL Project.#knustexperience #Knust #knustat70 #knuststudentsWatch Live Streaming,"Business, Announcement",Neutral,Announces a business project with no specific sentiment.
Wow ðŸ¤©. Great initiative.,"Appreciation, Encouragement",Delighted,Expresses excitement and appreciation for an initiative.
"The only live band jam to hit Brunei! It was a crazy idea but it happened! Stress release for all the students around and a chance to unleash our God-given talent! Band: Adonis, Eddy, Lybra, Hayford, Buda, Elvis, ClarkeSingers: Ella, Nana Ama, Dennis#KNUST #NeizerForCampusMp","Cultural Factors, Excitement, Stress and Anxiety",Delighted,Expresses excitement and positivity with cultural reference.
"""Give us a Public Forum. We would want to speak for ourselves."" - Students of KNUST@thenanaaba @knust_src @JOYNEWSONTV @Joy997FM @tv3_ghana @GHOneTV @UnityHallJCR @katangese @NAkufoAddo @JDMahama @watsuptek @KNUST_Live @knust_news#KNUSTClosedown#KNUST #KNUSTVCMUSTGO","Inquiry, Cultural Factors",Ambivalent,Requests a forum with mixed sentiment.
"can you here me, this is faisal","Inquiry, Politeness",Neutral,Asks a polite question with no specific sentiment.
Reading this puts smiles on my face. I made the right choice to apply to being a student of #KNUST ... KNUST is making impact across the globe. Long live KNUST,"Appreciation, Optimistic",Delighted,Expresses appreciation and optimism.
"Dear #KNUST take note that @KNUSTSRCEC ð‹ð„ð€ðƒð„ð‘ð’ð‡ðˆð ð’ð”ðŒðŒðˆð“, happening live at the Law Auditorium can be accessed via live Facebook stream on Focus Fm!ð—œð—§â€™ð—¦ ð—§ð—¢ð——ð—”ð—¬ , DONâ€™T MISS IT!#GodOfOpportunities","Announcement, Cultural Factors, Encouragement",Optimistic,Announces an event with cultural reference and encouragement.
Link to the Facebook live stream;https://fb.watch/cIVxksKFaU/#KNUST,"Media, Announcement",Neutral,Provides a link to a live stream with no specific sentiment.
"Dear #KNUST take note that @KNUSTSRCEC ð‹ð„ð€ðƒð„ð‘ð’ð‡ðˆð ð’ð”ðŒðŒðˆð“, happening live at the Law Auditorium can be accessed via live Facebook stream on Focus Fm!ð—œð—§â€™ð—¦ ð—§ð—¢ð——ð—”ð—¬ , DONâ€™T MISS IT!#GodOfOpportunities","Announcement, Cultural Factors, Encouragement",Optimistic,Announces an event with cultural reference and encouragement.
"After years with N.C. State Highway Patrol, Michael Dalton traded in his patrol car for a tractor and 160 acres of rolling farmland. He grows hay, and now solar power. Find out how leasing land to Duke Energy for a solar plant is helping secure the future for him and his family:","Business, Encouragement",Optimistic,Describes a positive life change and opportunity.
How do you grow solar power?,Inquiry,Neutral,Asks a question with no specific sentiment.
You'll be a life saver to a lot of people..God Bless!ðŸ™,"Appreciation, Blessing",Delighted,Expresses appreciation and blessing.
I will try to use in my palm oil plant in next future. God Bless ðŸ™,Blessing,Delighted,Conveys a blessing and future plan.
"Bring back the JCR, University is a stressful institutions","Stress and Anxiety, Cultural Factors",Stress and Anxiety,Expresses stress and a cultural reference.
"Exciting news! Tuesday, August 1st, 2023 will be a very special day in KNUST as we celebrate the 53rd birthday of the amazing Vice-Chancellor, Professor Mrs. Rita Akosua Dickson Thanksgiving Service . Yvonne Osei Adobea (SRC President Elect) & Nana Kwabena (SRC Vice President Elect)","Announcement, Celebration",Delighted,Announces a special event with celebration.
Ibi holidayyyâ€¦â€¦just asking for a friend,"Inquiry, Humor",Ambivalent,Asks about a holiday with humor and mixed sentiment.
If it's not a holiday how can it be special,Inquiry,Neutral,Asks a question with no specific sentiment.
Wow...same birthday as mine,Appreciation,Delighted,Expresses appreciation and excitement.
In advance to our big mummy,Appreciation,Delighted,Expresses appreciation and anticipation.
Mummy to the whole world ...,"Appreciation, Endearment",Delighted,Expresses appreciation and endearment.
So u mean no class will come off,"Inquiry, Frustration",Frustrated,Asks a frustrated question about classes.
They should do party and share food,"Celebration, Invitation",Delighted,Suggests a celebration and invitation to share food.
Item 13 dey come Anaa?,"Inquiry, Humor",Ambivalent,Asks about Item 13 with humor and mixed sentiment.
13 b3 pia anaaaaa?,"Inquiry, Humor",Ambivalent,Asks about Item 13 with humor and mixed sentiment.
The academic year is coming to an end so is the spiritual year and most churches are handing over leadership to successors. We congratulate you and pray for the Lord's countenance to be with you as you do His work.,"Encouragement, Celebration, Religious Factors",Delighted,"Expresses encouragement, celebration, and religiosity."
The Journey - Becoming the First Female SRC President at KNUST.,"Achievement, Celebration",Delighted,Celebrates an achievement with a positive sentiment.
Day 2 of,Announcement,Neutral,Makes an announcement with no specific sentiment.
"Hello, this is the results of my brilliant little sister whose dreams are fading cos of monetary problems. Would be grateful if there can be any form of recommendations. 0542147647 is my number if thereâ€™s a need for clarification.","Request, Concern",Ambivalent,Requests help with a concern and contact information.
Chancellor Professor Melissa Noblesâ€™ visit to KNUST. Panel Discussion on Inspiring the Next Generation of Women Innovators. Watch live via:,"Announcement, Inspiration, Education",Optimistic,Announces an event with inspiration and education.
All the best,Encouragement,Optimistic,Expresses encouragement and positivity.
May God grants you your heart desires,Blessing,Delighted,Conveys a blessing and positive sentiment.
We wan hear this kind news. All the best Miss.,Encouragement,Optimistic,Expresses encouragement and positivity.
"Public Lecture: The Student at the Heart of University Education, to be delivered by Professor Melissa Nobles, Chancellor of @MIT, USA. Make a date!!","Announcement, Education, Encouragement",Optimistic,Announces an educational event with encouragement.
This is all that KNUST management can do. This university is been run by a personal interest of the management CURSED MANAGEMENT.,Criticism,Frustrated,Criticizes university management with frustration.
One big mistake an institution will do is to make a woman an administrator.,"Gender Bias, Criticism",Negative,Expresses gender bias and criticism.
Get ready for an unforgettable sneak peek into the incredible Baby Brunei Hostel - KNUST,Excitement,Optimistic,Expresses excitement about a hostel sneak peek.
"Some of the beneficiaries of the SONSOL Project, an initiative of the Vice-Chancellor, Professor (Mrs.) Rita Akosua Dickson, shared their stories ahead of the 2023 distribution of laptops to brilliant but needy students. Watch via:","Announcement, Education, Encouragement",Optimistic,Announces an initiative with encouragement.
"The Vice-Chancellor & benefactors of the SONSOL Project will be distributing laptops to brilliant but needy students of the University on Friday, June 23, 2023 at 10:00am at the Great Hall, KNUST.","Announcement, Education",Optimistic,Announces a laptop distribution event with optimism.
When will the list be out please I mean the list of the receipt,Inquiry,Neutral,Asks a question with no specific sentiment.
"What is Transport Poverty? Letâ€™s meet at 4:30pm today (Tuesday, 20th June, 2023) at the Great Hall, KNUST for some education at the Professorial Inaugural Lecture of Professor Michael Poku-Boansi, Deputy Director, School of Graduate Studies, KNUST.",Education,Neutral,Announces an educational event with no sentiment.
Transport poverty,Education,Neutral,Refers to a concept with no specific sentiment.
KNUST is your No. 1 Destination for Quality Education (SDG 4) Globally,Education,Neutral,Makes a statement about education quality.
"KNUST Research Week 2023 As part of efforts to promote research and drive the KNUST Research-Intensive Agenda, the University is organising the â€œKNUST Research Weekâ€ & the 10th Anniversary of the Office Grants & Research (OGR) from May 29 to June 2, 2023.","Announcement, Education, Celebration",Optimistic,Announces an event with education and celebration.
Great step!,Encouragement,Optimistic,Expresses encouragement with a positive sentiment.
Have you applied yet? Become a member of the beautiful KNUST family today! Application e-vouchers to Degree/Top-Up programmes of study at the University for the 2023/2024 Academic Year are now on sale.,"Announcement, Education",Optimistic,Encourages application to KNUST with optimism.
How do I apply us a mature student please?,Inquiry,Neutral,Asks a question about application with no sentiment.
How do I apply as an undergraduate student,Inquiry,Neutral,Asks a question about application with no sentiment.
"How an international undergraduate applicant can start application, what to choose among these options(admission group) below for undergraduate?",Inquiry,Neutral,Asks a question about international application.
Please can I apply as fee paying student,Inquiry,Neutral,Asks a question about fee payment with no sentiment.
Please when will your Post Graduate Diploma (PGD) form be out,Inquiry,Neutral,Asks about PGD form release with no sentiment.
Distance learning available for educational program?,Inquiry,Neutral,Asks a question about distance learning with no sentiment.
"Early this morning, College of Engineering was awarded for having the highest student participation in the Lecturer Assessment which took place last semester. The awarded was received by the College Provost, Prof. K. B. Nyarko together with the GESA President and General Secretary.","Achievement, Education, Celebration",Delighted,Celebrates an achievement with education and celebration.
"SRC how did it happen hostel fees are to be paid by the 11th August 2023, just when students are about to write exams? seems harsh to pay now for accommodation due in January 2024, isn't it? last year we paid in September/October.","Criticism, Concern",Frustrated,Criticizes hostel fee timing with concern.
What about the course registration,Inquiry,Neutral,Asks a question about course registration with no sentiment.
We wrote the letter to the provost and we have heard nothing about it and next week too is mid semester exams,"Frustration, Concern",Frustrated,Expresses frustration and concern about the letter.
"Attendees are getting a comprehensive understanding of trading techniques, market analysis and psychology.",Education,Optimistic,Describes an educational event with optimism.
"Dr. Elvis, would you consider coming to UDS Tamale campus to organise the US30Legend seminar with us we also need help.","Request, Inquiry",Neutral,Requests Dr. Elvis's participation with no sentiment.
Masa go away..am very disappointed in the SRC..,"Disappointment, Criticism",Frustrated,Expresses disappointment and criticism towards SRC.
You got prop firm and you don't know anything about it dm,"Criticism, Inquiry",Frustrated,Criticizes lack of knowledge about prop firm with inquiry.
While standing because of poor planning,Criticism,Frustrated,Criticizes poor planning with frustration.
"Kindly be informed that the KNUST End of Second Semester Examination for the 2022/2023 Academic Year is scheduled for Monday, 7th August 2023 to Friday, 25th August 2023.",Announcement,Neutral,Announces the examination schedule with no sentiment.
Hm so them no go postpone this thing,"Inquiry, Concern",Concerned,Asks if the examination will be postponed with concern.
And when are they starting the 24hrs access to the library,Inquiry,Neutral,Asks about library access with no sentiment.
College of art timetable is not out yet,"Concern, Inquiry",Concerned,Expresses concern about timetable with inquiry.
The SRC Welfare Commission Calls For The Application Of SRC KBN And KNUST Bursary For The 2023/24 Academic Year.,"Announcement, Education",Neutral,Announces an application call with education.
Continuing students on scholarship above what?,Inquiry,Neutral,Asks a question about scholarship with no sentiment.
"The SRC Financial Secretary, Master Justice Anane Gyamfi, early today read the â€˜AnidasoÉ”â€™ budget which sums to GHÂ¢807,000.00 to the Parliamentary Council for deliberation and approval. â€œItâ€™s the time to build, not to destroy and tear downâ€ Justice ended on that.","Announcement, Encouragement, Education",Optimistic,Announces a budget with encouragement and education.
What is the essence of constructing a bus shelter at Ahinsan when we don't even have enough shuttles to transport students even from KSB to Commercial area. Wei nyinaa,Criticism,Frustrated,Criticizes bus shelter construction with frustration.
"It is my honor, as Minister of Education to extend my heartfelt congratulations to Miss Yvonne Osei Adobea who has made history by becoming the first elected female Student Representative Council (SRC) President of KNUST.","Congratulations, Encouragement",Delighted,Extends congratulations and encouragement.
"Fix the education system , you have failed me so far boss","Criticism, Concern",Frustrated,Criticizes the education system with concern.
So are you aware university of Ghana and @aba_amfo has disobeyed the court even tho the court instructed them to reinstate commonwealth hall residents?,"Inquiry, Criticism",Frustrated,Asks a question about disobedience with criticism.
Kindly give her scholarship,Request,Encouragement,Requests a scholarship with encouragement.
"Thank you, Abrante3.",Appreciation,Delighted,Expresses appreciation with delight.
Congratulations to our sister,Congratulations,Delighted,Extends congratulations with delight.
Two other women won SRC presidency at UDS (Nyankpala and Tamale respectively).,"Achievement, Celebration",Delighted,Celebrates achievement with a positive sentiment.
Fa wo gyimie kor!,"Encouragement, Criticism",Frustrated,Encourages while criticizing with frustration.
This does not provide textbooks to kids in basic schools. Schools are still under trees and when we talk you will tell us they are schools of fame!,Criticism,Frustrated,Criticizes lack of textbooks in basic schools.
"""Good morning. My name is Yvonne Osei Adobea and I'm your next SRC President. Have a lovely Yvonne day!"" We only extend greetings from the elect.","Greetings, Announcement",Delighted,Extends greetings with an announcement.
We beg,Request,Neutral,Makes a request with no specific sentiment.
Check out the final results of the just ended SRC elections.,Announcement,Neutral,Announces election results with no sentiment.
Give a caption.,Request,Neutral,Requests a caption with no specific sentiment.
them dead,Criticism,Frustrated,Criticizes with frustration.
From left to right knust is dead,Criticism,Frustrated,Criticizes with frustration.
Low pace and dem dead,Criticism,Frustrated,Criticizes with frustration.
"If things go this way, 5 years from today KNUST will see their first female SRC President.",Prediction,Ambivalent,Predicts the future with mixed sentiment.
Wah dey wrong you??,Inquiry,Neutral,Asks a question with no specific sentiment.
First ever SRC president s3n? The past ones were cleaners ong.,Criticism,Frustrated,Criticizes past SRC presidents with frustration.
Okay so in 10 to 20 years time They will grow and balance into NPP and NDC gurus,Prediction,Ambivalent,Predicts the future with mixed sentiment.
Knust go suffer pass,Criticism,Frustrated,Criticizes KNUST with frustration.
Masa twer3 yie,Encouragement,Optimistic,Encourages with optimism.
You mean female right?????,Clarification,Neutral,Seeks clarification with no specific sentiment.
"To win the people, always cook them with savory that pleases them....and that's what Yvonne Osei Adobea has done today.","Appreciation, Encouragement",Delighted,Appreciates and encourages with delight.
She won it very simple.. it because she went twice,"Explanation, Appreciation",Delighted,Provides an explanation with appreciation.
Congratulations,Congratulations,Delighted,Extends congratulations with delight.
Is it not nice,Appreciation,Delighted,Expresses appreciation with delight.
let's goooo,Encouragement,Optimistic,Encourages with optimism.
....And a chocolate bar,Neutral,Neutral,Provides information with no specific sentiment.
Knust go suffer ruf,Criticism,Frustrated,Criticizes KNUST with frustration.
"8,000 ahh knust population dey low kraa o",Concern,Concerned,Expresses concern about KNUST population.
Plenty people no vote Bossu,"Observation, Criticism",Frustrated,Observes low voter turnout with criticism.
"Total population be 80,000 plus boss",Information,Neutral,Provides information with no specific sentiment.
All correct sir,"Agreement, Appreciation",Delighted,Agrees and appreciates with delight.
Why you go chop the population? Or you know no some people didnâ€™t vote,"Inquiry, Criticism",Frustrated,Asks a question with criticism.
@fiifi_bediako donâ€™t worry you will surely make it in the future for a different position just thank God and move on Maybe this position wasnâ€™t for you But remember God has something else for you Who knows you might be the president of Ghana,Encouragement,Optimistic,Encourages and provides optimism.
Soft work,Encouragement,Optimistic,Expresses encouragement with optimism.
"This canâ€™t be possibleâ€¦, coz the percentage she used is really less of the majority of the populace of the school","Doubt, Criticism",Frustrated,Expresses doubt and criticism.
Please tell me Fiifi was the last,Inquiry,Neutral,Asks a question with no specific sentiment.
KNUST and second dance,Announcement,Neutral,Makes an announcement with no specific sentiment.
Is this the KNUST I know,"Inquiry, Concern",Concerned,Asks a question with concern.
Historic moment at KNUST!!!,"Announcement, Celebration",Delighted,Announces a historic moment with celebration.
@AFiabian,Mention,Neutral,Mentions a user with no specific sentiment.
45133,Information,Neutral,Provides information with no specific sentiment.
Woman factor congratulations but don't be corrupt,"Congratulations, Concern",Delighted,Extends congratulations with concern.
so who chop last,Inquiry,Neutral,Asks a question with no specific sentiment.
Well deserved,Congratulations,Delighted,Extends congratulations with delight.
"Yevoo Vanessa Justine is the champion of public speaking at the R. P. Baffour Memorial Freshmen Debate Tournament 2023. She had an impressive run throughout the tournament, and her creativity, demeanour, content, and coherence landed her the ultimate trophy. Congratulations!","Achievement, Congratulations, Encouragement",Delighted,Celebrates an achievement with congratulations.
"Congratulations to the team from Queen Elizabeth II Hall, Cornelius and Ranveer. You did great in the finals. We wish you the very best in all your debating endeavours! Your hall is proud of your efforts and enthusiasm!","Congratulations, Encouragement",Delighted,Extends congratulations and encouragement.
Republic will show next year. Until then moay3 ade,"Announcement, Encouragement",Delighted,Announces future plans with encouragement.
"Congratulations to Adetoe Kwame Dela (1st Runner Up) and Baidawu Ibrahim (2nd Runner Up) of Public Speaking in the R. P. Baffour Memorial Freshmen Debate Tournament 2023. Your hall, trainers, and the entire KDS family are proud of you!","Congratulations, Encouragement",Delighted,Extends congratulations and encouragement.
"I love you means that I accept you for the person that you are, and that I do not wish to change you into someone else.","Love, Acceptance",Delighted,Expresses love and acceptance.
"I love you means that I accept you for the person that you are, and that I do not wish to change you into someone else.","Love, Acceptance",Delighted,Expresses love and acceptance.
"Composed leaders with great minds Abraham as the name goes, Father of all nations Ready to lead the great land of KNUST Let Abraham lead !! The Peopleâ€™s Rock","Encouragement, Leadership",Delighted,Encourages Abraham's leadership with positivity.
We believe in your capabilities,Encouragement,Optimistic,Expresses belief in capabilities with optimism.
We believe in your capabilities,"Believe, capabilities",Optimistic,"The tweet expresses a belief in the person's abilities, which is a positive emotion."
#THEPEOPLESROCK IS THE RIGHT REBUILDER OF THE BROKEN AND SHAKEN STUDENT REPRESENTATIVE COUNCIL â€¦LET ABRHAM DO THIS,"Rebuilder, Student Representative Council",Hopeful,"The tweet expresses hope that Abraham Rockson can rebuild the Student Representative Council, which is a positive emotion."
ABRAHAM ROCKSON CAN DO THIS ðŸ™ðŸ¥ºðŸ¤²ðŸ¾,"Abraham Rockson, Student Representative Council",Supportive,"The tweet expresses support for Abraham Rockson, which is a positive emotion."
W'ay3 indece hall basaa s3 rebuilding our SRCðŸ˜´ðŸ˜´ðŸ˜´,"Rebuilding, Student Representative Council",Tired,"The tweet expresses tiredness with the rebuilding of the Student Representative Council, which is a negative emotion."
Victory is near ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,"Victory, Student Representative Council",Excited,"The tweet expresses excitement about the upcoming victory of the Student Representative Council, which is a positive emotion."
The Austin@iamaustinperryÂ·Jul 15Hon. Rebuilders please rebuild â¤ï¸ðŸ¤²ðŸ½,"Rebuilders, Student Representative Council",Supportive,"The tweet expresses support for the rebuilders of the Student Representative Council, which is a positive emotion."
we are winning massively,"Winning, Student Representative Council",Excited,"The tweet expresses excitement about the Student Representative Council's success, which is a positive emotion."
"To serve humanity, here we come ðŸ«‚","Serve, humanity",Hopeful,"The tweet expresses hope for the future, which is a positive emotion."
Your responses were very precise and concise.,"Precise, concise",Impressed,"The tweet expresses admiration for the person's responses, which is a positive emotion."
"Father of Knust, Abraham RocksonAbraham-Apraku must leadðŸ”¥â¤ï¸","Abraham Rockson, leadership",Hopeful,"The tweet expresses hope that Abraham Rockson will lead, which is a positive emotion."
KNUST Hospital Accused Of Negligence After Couple Loses 10-day-old Baby During Circumcision,"Negligence, death","Sad, frustrated","The tweet expresses sadness and frustration at the death of the baby, which is a negative emotion."
"The KNUST hospital has been accused of negligence in the death, which occurred in April 2023","Negligence, death","Sad, frustrated","The tweet expresses sadness and frustration at the death of the baby, which is a negative emotion."
"I became restless a few minutes later. A woman who spoke to me in Hausa tried to calm me down but it was impossible,"" the mother said.","Restless, impossible","Sad, frustrated","The tweet expresses the mother's sadness and frustration at the situation, which is a negative emotion."
"The baby was taken to the Komfo Anokye Teaching Hospital for treatment and after some waiting, a doctor revealed to them that their child had died",Death,"Sad, frustrated","The tweet expresses the parents' sadness and frustration at the death of their child, which is a negative emotion."
"This one was not serious about taking his life. If he were, he would do it silently without creating a scene. We all dealing with issues; nobody cares.","Not serious, scene",Ambivalent,"The tweet expresses ambivalence about the person's suicide attempt, which is a complex emotion."
This is how histrionics behave. Theyâ€™ll never do it in silence,"Histrionic, suicide",Ambivalent,"The tweet expresses ambivalence about the person's suicide attempt, which is a complex emotion."
This is fact bro..It looks like a staged suicide .,"Fact, staged suicide",Neutral,"The tweet expresses a neutral opinion about the person's suicide attempt, which is a complex emotion."
Facts ðŸ¤£ðŸ¤£ðŸ˜‚ðŸ˜‚,"Facts, suicide",Neutral,"The tweet expresses a neutral opinion about the person's suicide attempt, which is a complex emotion."
What u are saying is not a good thought ok...do u even know depression.the guy is going through a lot of trauma and he needs counsel,"Depression, trauma",Concerned,"The tweet expresses concern for the person's mental health, which is a positive emotion."
Kwasia sem do u know wats going on with him Jon boy u think u know everything,"Kwasia sem, know",Frustrated,"The tweet expresses frustration with the other person's ignorance, which is a negative emotion."
Your mother,Mother,Bad influence,"The tweet is a personal attack, which is negative."
TrueðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ’”,TRUE,Neutral,"The tweet expresses a neutral opinion about the person's suicide attempt, which is a complex emotion."
This guy don wn die. Ebi antiques and tactics ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,"Die, antiques and tactics","Frustrated, ambivalent","The tweet expresses frustration and ambivalence about the person's suicide attempt, which is a complex emotion."
Hmmm,Hmm,Neutral,The tweet expresses a neutral emotion.
If he * was * not were wabon dodo,"Was, were",Neutral,"The tweet is a nonsensical play on words, which is neutral."
I am tempted to think you were born through the anus!,Anus,Bad influence,"The tweet is a personal attack, which is negative."
@BongoIdeas you day lack something serious,"BongoIdeas, lack something serious",Bad influence,"The tweet is a personal attack, which is negative."
Like you will soon do without creating a scene Aboa,"Soon, die without creating a scene",Bad influence,"The tweet is a death threat, which is negative."
Don't mind him koraa ... Dem for arrest am,Arrest,Neutral,"The tweet expresses a neutral opinion on whether the person should be arrested, which is a complex issue."
"Bongo is the definition of ""I won't follow the masses"". Even if the masses are right him diaaa still he no go follow.","Bongo, follow the masses",Neutral,"The tweet expresses a neutral opinion on whether Bongo should follow the masses, which is a complex issue."
Herrr bongo Adey feel you pass,"Bongo, feel",Neutral,The tweet expresses a neutral emotion.
You this guy???,You,Neutral,The tweet is not clear enough to determine the final word.
I was late today like I would have saved himDid he die?,"Late, die",Neutral,The tweet expresses a neutral emotion.
"ðŸ˜‚ðŸ˜‚ðŸ˜‚, aswear",Aswear,Neutral,The tweet expresses a neutral emotion.
You just want to be seen. Congrats,"Seen, congrats",Ambivalent,"The tweet expresses ambivalence about the person's motives, which is a complex emotion."
"Do you remember the guy who was electrocuted by the high tension pole ? He did the same thing, people tried to safe him buh he was eager to commit the suicide","Electrocuted, suicide","Sad, frustrated","The tweet expresses sadness and frustration at the person's death, which is a negative emotion."
This one de3 bro take your âœŒï¸,Take your âœŒï¸,Neutral,The tweet is not clear enough to determine the final word.
Sometimes I wonder if you have a heart man,Heart,Bad influence,"The tweet is a personal attack, which is negative."
If this is how best you can decipher a message then I have to say Iâ€™m disappointed well we live in a world where no one cares. Instead of advising him you come here to say he should have done it in silence. What a world we live in. You wonâ€™t know until youâ€™re in the same shoes.,"Disappointed, no one cares, advise, suicide","Sad, frustrated","The tweet expresses sadness and frustration at the person's ignorance and lack of empathy, which is negative."
"If you didnâ€™t care you would have just ignored the tweet and the whole situation. Mind you, we all have different coping mechanisms. All in all we should be glad that nothing happened to him.","Care, coping mechanisms",Neutral,"The tweet expresses a neutral opinion on coping mechanisms, which is a complex issue."
Somethings you say are really unreasonable,Unreasonable,Neutral,"The tweet expresses a neutral opinion on the person's statements, which is a complex issue."
"I don't know why I love you so much, keep it up","Love, keep it up",Neutral,The tweet expresses
"Why do you always see the need to be controversial regardless of the feelings involved?â€¦but for some reason I feel that you shouldnâ€™t be blamed. You arenâ€™t loved, are you?","Controversial, feelings involved",Bad influence,"The tweet is a personal attack, which is negative."
"I like you but if you didn't care, you wouldn't be talking about it","Care, talk",Neutral,"The tweet expresses a neutral opinion on the person's motives, which is a complex emotion."
Engagement Dey bee you ooo,Engagement,Neutral,"The tweet expresses a neutral opinion on the person's engagement, which is a complex issue."
"Engagement nti, wo gyimi","Engagement, give",Neutral,"The tweet expresses a neutral opinion on the person's engagement, which is a complex issue."
"Chale we all keeping our pains, cos if we want spee it out hmmmm...may God be with us all","Pain, keep, God",Neutral,The tweet expresses a neutral emotion.
Now I'm worried about those liking this tweet. EiðŸŒ,"Like, tweet",Neutral,The tweet expresses a neutral emotion.
Eiii Awurade ðŸ˜‚ðŸ˜‚ Bongo,"Awurade, Bongo",Neutral,The tweet expresses a neutral emotion.
The guy after been saved ðŸ˜‚ðŸ˜‚ðŸ˜‚,Saved,Neutral,The tweet expresses a neutral emotion.
And people are replying â€œfactsâ€ â€œreal broâ€ tf??,"Facts, real bro",Ambivalent,"The tweet expresses ambivalence about the people's responses, which is a complex emotion."
Get too anxious to even remember my answers,"Anxious, remember",Frustrated,"The tweet expresses frustration at the person's anxiety, which is a negative emotion."
Itâ€™s affects it partially,"Affects, partially",Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
I do the tests anyway,"Test, anyway",Neutral,The tweet expresses a neutral emotion.
"I end up forgetting most things I learn because of fear when I'm writing exam, it's really affected my performance","Fear, forget, performance",Frustrated,"The tweet expresses frustration at how anxiety has affected the person's performance, which is a negative emotion."
Not so well,Not so well,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
Makes me underperform during exams,"Underperform, exams",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Not that good,Not that good,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
I am unable to gather courage in facing academic excercises including examinations and to some extent class tests,"Courage, academic excercises, examinations",Frustrated,"The tweet expresses frustration at the person's anxiety, which is a negative emotion."
It affects it in a bad way,"Affects, bad way",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Having bad headaches when writing the exam which slows me down,"Headaches, slows me down",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
It affect it slightly,"Affects, slightly",Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
It will be as if i have not learnt enough and will poorly affect my academic performance,"Learnt enough, poorly affect academic performance",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
when the results were released ðŸ’€,"Results, ðŸ’€",Frustrated,"The tweet expresses frustration at the person's test results, which is a negative emotion."
Test anxiety makes me make a lot of mistakes and inaccuracies in the exam hall hence affecting my overall performance.,"Mistakes, inaccuracies, overall performance",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
It affect my performance badly,"Affects, performance badly",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
